P_ID,name,desc,type,realType,xinfatype,body,spirit,strength,agility,spunk,physicsShield,magicShield,dodge,parryBase,parryValue,toughness,attack,heal,crit,critEffect,overcome,acce,hit,strain,huajing,threat,neihui,neili,xuehui,qixue
enchant-5635,新春·别岁,可强化戒指，使自身每秒回复气血值提高8点,999,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5637,新春·分岁,可强化戒指，使自身招式产生威胁提高2%,999,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5638,新春·馈岁,可强化戒指，使自身招式产生威胁降低2%,999,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5636,新春·守岁,可强化戒指，使自身每秒回复内力值提高3点,999,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5639,新春·压岁,可强化戒指，使自身内功攻击增加2点,999,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5640,新春·桃符,可强化戒指，使自身外功攻击增加2点,999,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5857,行军·绣（气血）,气血提升101,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5858,行军·绣（体质）,体质提升10,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5859,行军·印（内伤）,内功攻击提升16,7,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5860,行军·印（外伤）,外功攻击提升15,7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5861,行军·染（内伤）,内功攻击提升16,6,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5862,行军·染（外伤）,外功攻击提升15,6,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5863,行军·纹（气血）,气血提升104,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5864,行军·纹（体质）,体质提升10,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5865,安戎·绣（体质）,体质提升12,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5866,安戎·绣（气血）,气血提升122点,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5867,安戎·绣（内力）,内力提升122点,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5868,安戎·绣（气回）,生命回复提升10,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5869,安戎·绣（内回）,内力回复提升17,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5870,安戎·绣（拆值）,拆招提升152,8,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5871,安戎·绣（闪避）,闪避提升12,8,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5872,安戎·绣（外防）,外功防御提升12,8,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5873,安戎·绣（内防）,内功防御提升12,8,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5875,安戎·绣（御劲）,御劲提升12,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5876,安戎·绣（化劲）,化劲提升12,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5878,安戎·印（元气）,元气提升9,7,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5879,安戎·印（外伤）,外功攻击提升18,7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5880,安戎·印（内伤）,内功攻击提升22,7,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5881,安戎·印（疗伤）,疗伤成效提升19,7,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5882,安戎·印（内会效）,内功会心效果提升24,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5883,安戎·印（外会效）,外功会心效果提升24,7,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5884,安戎·染（力道）,力道提升9,6,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5885,安戎·染（元气）,元气提升9,6,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5886,安戎·染（外伤）,外功攻击提升18,6,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5887,安戎·染（内伤）,内功攻击提升22,6,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5888,安戎·染（疗伤）,疗伤成效提升19,6,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5889,安戎·染（内会效）,内功会心效果提升24,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5890,安戎·染（外会效）,外功会心效果提升24,6,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5891,安戎·纹（体质）,体质提升12,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5892,安戎·纹（气血）,气血提升122点,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5893,安戎·纹（内力）,内力提升122点,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5894,安戎·纹（气回）,生命回复提升10,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5895,安戎·纹（内回）,内力回复提升17,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5896,安戎·纹（拆值）,拆招提升152,10,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5897,安戎·纹（闪避）,闪避提升12,10,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5898,安戎·纹（外防）,外功防御提升12,10,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5899,安戎·纹（内防）,内功防御提升12,10,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5900,安戎·纹（招架）,招架提升12,10,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5901,安戎·纹（御劲）,御劲提升12,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5902,安戎·纹（化劲）,化劲提升12,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5903,雅·安戎·绣（体质）,体质提升14,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5904,雅·安戎·绣（气血）,气血提升137点,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5905,雅·安戎·绣（内力）,内力提升137点,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5906,雅·安戎·绣（气回）,生命回复提升10,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5907,雅·安戎·绣（内回）,内力回复提升17,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5908,雅·安戎·绣（拆值）,拆招提升171,8,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5909,雅·安戎·绣（闪避）,闪避提升14,8,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5910,雅·安戎·绣（外防）,外功防御提升14,8,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5911,雅·安戎·绣（内防）,内功防御提升14,8,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5912,雅·安戎·绣（招架）,招架提升14,8,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5913,雅·安戎·绣（御劲）,御劲提升14,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5914,雅·安戎·绣（化劲）,化劲提升14,8,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5915,雅·安戎·印（力道）,力道提升10,7,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5916,雅·安戎·印（元气）,元气提升10,7,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5917,雅·安戎·印（外伤）,外功攻击提升21,7,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5918,雅·安戎·印（内伤）,内功攻击提升25,7,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5919,雅·安戎·印（疗伤）,疗伤成效提升22,7,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5920,雅·安戎·印（内会效）,内功会心效果提升27,7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5921,雅·安戎·印（外会效）,外功会心效果提升27,7,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5922,雅·安戎·染（力道）,力道提升10,6,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5923,雅·安戎·染（元气）,元气提升10,6,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5924,雅·安戎·染（外伤）,外功攻击提升21,6,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5925,雅·安戎·染（内伤）,内功攻击提升25,6,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5926,雅·安戎·染（疗伤）,疗伤成效提升22,6,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5927,雅·安戎·染（内会效）,内功会心效果提升27,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5928,雅·安戎·染（外会效）,外功会心效果提升27,6,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5929,雅·安戎·纹（体质）,体质提升14,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5930,雅·安戎·纹（气血）,气血提升137点,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5931,雅·安戎·纹（内力）,内力提升137点,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5932,雅·安戎·纹（气回）,生命回复提升10,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5933,雅·安戎·纹（内回）,内力回复提升17,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5934,雅·安戎·纹（拆值）,拆招提升171,10,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5935,雅·安戎·纹（闪避）,闪避提升14,10,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5936,雅·安戎·纹（外防）,外功防御提升14,10,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5937,雅·安戎·纹（内防）,内功防御提升14,10,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5938,雅·安戎·纹（招架）,招架提升14,10,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5939,雅·安戎·纹（御劲）,御劲提升14,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5940,雅·安戎·纹（化劲）,化劲提升14,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5941,行军·锻（外破）,外功破防提升12,9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5942,行军·锻（内破）,内功破防提升12,9,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5943,行军·铸（外破）,外功破防提升12,5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5944,行军·铸（内破）,内功破防提升12,5,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5945,行军·磨石（外伤）,外功攻击提升12,11,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5946,行军·磨石（内伤）,内功攻击提升12,11,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5947,行军·熔锭（外伤）,外功攻击提升12,11,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5948,行军·熔锭（内伤）,内功攻击提升12,11,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5949,安戎·锻（根骨）,根骨提升14,9,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5950,安戎·锻（身法）,身法提升14,9,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5951,安戎·锻（外破）,外功破防提升24,9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5952,安戎·锻（内破）,内功破防提升24,9,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5953,安戎·锻（仇恨）,仇恨百分比提升4%,9,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5954,安戎·锻（外会）,外功会心提升24,9,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5955,安戎·锻（内会）,内功会心提升24,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5956,安戎·锻（外命）,外功命中提升24,9,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5957,安戎·锻（内命）,内功命中提升24,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5958,安戎·锻（无双）,无双提升24,9,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5959,安戎·铸（根骨）,根骨提升13,5,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5960,安戎·铸（身法）,身法提升13,5,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5961,安戎·铸（外破）,外功破防提升24,5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5962,安戎·铸（内破）,内功破防提升24,5,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5963,安戎·铸（仇恨）,仇恨百分比提升4%,5,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5964,安戎·铸（外会）,外功会心提升24,5,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5965,安戎·铸（内会）,内功会心提升24,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5966,安戎·铸（外命）,外功命中提升24,5,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5967,安戎·铸（内命）,内功命中提升24,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5968,安戎·铸（无双）,无双提升24,5,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5969,安戎·磨石（外伤）,外功攻击提升18,11,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5970,安戎·磨石（内伤）,内功攻击提升22,11,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5971,安戎·磨石（疗伤）,疗伤成效提升19,11,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5972,安戎·磨石（武伤）,武器伤害提升4,11,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5973,安戎·熔锭（外伤）,外功攻击提升27,11,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5974,安戎·熔锭（内伤）,内功攻击提升33,11,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5975,安戎·熔锭（疗伤）,疗伤成效提升29,11,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5976,安戎·熔锭（武伤）,武器伤害提升6,11,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5977,固·安戎·锻（根骨）,根骨提升15,9,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5978,固·安戎·锻（身法）,身法提升15,9,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5979,固·安戎·锻（外破）,外功破防提升27,9,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5980,固·安戎·锻（内破）,内功破防提升27,9,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5981,固·安戎·锻（仇恨）,仇恨百分比提升5%,9,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5982,固·安戎·锻（外会）,外功会心提升27,9,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5983,固·安戎·锻（内会）,内功会心提升27,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5984,固·安戎·锻（外命）,外功命中提升27,9,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5985,固·安戎·锻（内命）,内功命中提升27,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5986,固·安戎·锻（无双）,无双提升27,9,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5987,固·安戎·铸（根骨）,根骨提升15,5,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5988,固·安戎·铸（身法）,身法提升15,5,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5989,固·安戎·铸（外破）,外功破防提升27,5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5990,固·安戎·铸（内破）,内功破防提升27,5,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5991,固·安戎·铸（仇恨）,仇恨百分比提升5%,5,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5992,固·安戎·铸（外会）,外功会心提升27,5,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5993,固·安戎·铸（内会）,内功会心提升27,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5994,固·安戎·铸（外命）,外功命中提升27,5,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5995,固·安戎·铸（内命）,内功命中提升27,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5996,固·安戎·铸（无双）,无双提升27,5,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5997,固·安戎·磨石（外伤）,外功攻击提升21,11,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5998,固·安戎·磨石（内伤）,内功攻击提升25,11,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5999,固·安戎·磨石（疗伤）,疗伤成效提升22,11,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-6000,固·安戎·磨石（武伤）,武器伤害提升5,11,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-6001,固·安戎·熔锭（外伤）,外功攻击提升31,11,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-6002,固·安戎·熔锭（内伤）,内功攻击提升37,11,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-6003,固·安戎·熔锭（疗伤）,疗伤成效提升32,11,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-6004,固·安戎·熔锭（武伤）,武器伤害提升7,11,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enchant-5874,安戎·绣（招架）,招架提升12,8,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
